ID,Vulnerability description,Location,Module,Type,Threat,Time
488,XX enterprise vehicle Networking Platform Backstage Management Information Inquiry Office exists in SQL injection vulnerabilities,Outside-vehicle,Cloud platform,SQL injection,Medium,2023/3/14
489,The SPIN Weak's Display Vulnerability,Outside-vehicle,Cloud platform,Weak password,Low,2023/3/3
490,XX enterprise automobile TBOX has ROOT password hard coding vulnerabilities,In-vehicle,T-Box,Weak password,Low,2023/3/13
491,XX enterprise automobile TBOX has a weak loophole,In-vehicle,T-Box,Weak password,Medium,2023/3/13
492,XX enterprise automobile TBOX has ROOT password hard coding vulnerabilities,In-vehicle,T-Box,Weak password,Low,2023/3/13
493,XX enterprise automobile TBOX has a weak password loophole,In-vehicle,T-Box,Weak password,Low,2023/3/13
494,XX enterprise vehicle Networking Platform Mall CHECKED interface has SQL injection vulnerabilities,Outside-vehicle,Cloud platform,SQL injection,Medium,2023/3/13
495,XX enterprise vehicle Networking Platform Mall User.php Page exists in SQL injection leakage,Outside-vehicle,Cloud platform,SQL injection,Medium,2023/3/13
496,The background management of the XX enterprise vehicle Networking Platform has a weak passage of loopholes,Outside-vehicle,Cloud platform,Weak password,Low,2023/3/14
497,There is a vulnerability for brute cracked in the background management of the XX corporate car networking platform to modify the password,Outside-vehicle,Cloud platform,Weak password,Medium,2023/3/13
498,The background management of the XX enterprise car networking platform has a login graphic verification code bypass the vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/3/13
499,XX enterprise automobile Refuse Service Vulnerability 2,In-vehicle,IVI,DoS,Low,2023/3/13
500,XX enterprise automobile has rejected service vulnerabilities 1,In-vehicle,IVI,DoS,Low,2023/3/13
501,XX enterprise automotive Motor kernel module vulnerability 3 (No. 14),In-vehicle,IVI,Kernel,Medium,2023/3/13
502,XX enterprise automotive Car Motor Nuclear Module Vulnerability 2 (No. 14),In-vehicle,IVI,Kernel,Medium,2023/3/13
503,XX enterprise automotive Motor kernel module vulnerability 1 (No. 14),In-vehicle,IVI,Kernel,Medium,2023/3/13
504,XX enterprise automotive Machine ADB password hard -coded vulnerability (No. 14),In-vehicle,IVI,Weak password,Medium,2023/3/13
505,XX enterprise automobile ADB permissions bypassed vulnerabilities (No. 14),In-vehicle,IVI,Weak password,Medium,2023/3/13
506,XX enterprise automobile LINUX kernel vulnerability (635),In-vehicle,IVI,Kernel,Medium,2023/3/12
507,XX enterprise automobile LINUX kernel vulnerability (572),In-vehicle,IVI,Kernel,Medium,2023/3/12
508,XX enterprise automobile LINUX kernel vulnerability (527),In-vehicle,IVI,Kernel,Medium,2023/3/12
509,XX enterprise automotive Mot has a loophole in the project mode,In-vehicle,IVI,Unauthorized accessing,Low,2023/3/12
510,XX enterprise automobile Linux kernel vulnerability (509),In-vehicle,IVI,Kernel,Medium,2023/3/12
511,XX enterprise automobile Linux kernel vulnerability (499),In-vehicle,IVI,Kernel,Medium,2023/3/12
512,XX enterprise automobile LINUX kernel vulnerability (465),In-vehicle,IVI,Kernel,Medium,2023/3/12
513,XX enterprise automobile LINUX kernel vulnerability (457),In-vehicle,IVI,Kernel,Medium,2023/3/12
514,XX enterprise automobile Existing APP Any installation vulnerability,In-vehicle,IVI,Arbitrary software installation,Low,2023/3/12
515,XX enterprise automotive Machine Get ROOT Permanent,In-vehicle,IVI,Privilege escalation,Medium,2023/3/12
516,There is a vulnerability for leakage of sensitive information in the XX enterprise automobile car,In-vehicle,IVI,Information leakage,Medium,2023/3/12
517,There is a hidden engineering mode in the XX enterprise car car,In-vehicle,IVI,Unauthorized accessing,Medium,2023/3/12
518,XX enterprise automotive Mot Machine LINUX kernel vulnerability (635),In-vehicle,IVI,Kernel,Medium,2023/3/12
519,XX enterprise automotive Linux kernel vulnerability (572),In-vehicle,IVI,Kernel,Medium,2023/3/12
520,XX enterprise automotive Linex kernel vulnerability (527),In-vehicle,IVI,Kernel,Medium,2023/3/12
521,XX enterprise automotive Linex kernel vulnerability (525),In-vehicle,IVI,Kernel,Medium,2023/3/12
522,XX enterprise automotive Linex kernel vulnerability (509),In-vehicle,IVI,Kernel,Medium,2023/3/12
523,XX enterprise automotive Linex kernel vulnerability (499),In-vehicle,IVI,Kernel,Medium,2023/3/12
524,XX enterprise automotive Linex kernel vulnerability (465),In-vehicle,IVI,Kernel,Medium,2023/3/12
525,XX enterprise automotive Linel LINUX kernel vulnerability (457),In-vehicle,IVI,Kernel,Medium,2023/3/12
526,XX enterprise automobile Remote Closing Instrument Information,In-vehicle,IVI,DoS,Low,2023/3/11
527,XX enterprise automobile Linux kernel vulnerability,In-vehicle,IVI,Kernel,Medium,2023/3/11
528,XX enterprise automotive Cloud Platform Identity Verification bypasses Vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/3/10
529,XX enterprise automobile TBOX System FTP weak passage vulnerability,In-vehicle,T-Box,Weak password,Low,2023/3/10
530,XX enterprise Cloud Platform sensitive information leak (traversal car maintenance package purchase record),Outside-vehicle,Cloud platform,Information leakage,Low,2023/3/10
531,XX enterprise automotive IVI Traffic Hide Vulnerability (GetShell+Root),In-vehicle,IVI,Unauthorized accessing,Medium,2023/3/10
532,XX enterprise automobile IVI has sensitive files to read loopholes,In-vehicle,IVI,Information leakage,Low,2023/3/10
533,XX enterprise automotive QNX System Test Port Open Vulnerability,Network,Network,Debug interface exposure,Medium,2023/3/10
534,XX enterprise automobile NVTEVM System FTP empty passage vulnerability,Network,Network,Weak password,Low,2023/3/10
535,XX enterprise automotive QNX System Test Port Open Vulnerability,In-vehicle,IVI,Debug interface exposure,Medium,2023/3/10
536,The XX enterprise vehicle Network Cloud Platform Online Customer Service Module has certification to bypass the vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023/3/10
537,XX enterprise automobile NVTEVM System Telnet empty passage vulnerability,Network,Network,Weak password,Low,2023/3/10
538,XX enterprise automobile has a hard -coded ROOT password vulnerability,In-vehicle,IVI,Weak password,Low,2023/3/10
539,XX enterprise automobile has hidden engineering model vulnerabilities,In-vehicle,IVI,Unauthorized accessing,Low,2023/3/10
540,XX enterprise automobile IVI Open FTP Service,In-vehicle,IVI,Unauthorized accessing,Low,2023/3/9
541,XX enterprise operation platform command execution and information leakage,Outside-vehicle,Cloud platform,Information leakage,Low,2023/3/9
542,XX enterprise automotive IVI Installation Mysterious APK Vulnerability,In-vehicle,IVI,Arbitrary software installation,Low,2023/3/9
543,There are vulnerabilities of the XX corporate vehicle networking platform in batches to take over the loopholes of other people's APPs and vehicles,Outside-vehicle,Cloud platform,Unauthorized accessing,High,2023/3/9
544,The XX corporate car networking platform exists in SpringBoot unauthorized access vulnerabilities,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/3/9
545,XX enterprise automotive System Telnet remote login weak passage,In-vehicle,IVI,Weak password,Low,2023/3/8
546,XX enterprise automotive System Dynamic Library Mingwen storage key,In-vehicle,IVI,Weak password,Medium,2023/3/8
547,XX enterprise automobile Modify Data Data and other instrumental data and other instrumental data,In-vehicle,IVI,File tampering,Low,2023/3/8
548,XX enterprise automobile QNX System Unsafe District File File configuration,In-vehicle,IVI,File accessing,Low,2023/3/8
549,XX enterprise automobile IVI Open Hidden Function Vulnerability,In-vehicle,IVI,Unauthorized accessing,Low,2023/3/8
550,XX enterprise automotive automotive Network FTP FTP weak passage vulnerability,In-vehicle,IVI,Weak password,Low,2023/3/8
551,XX enterprise automobile Remote Playing Music,In-vehicle,IVI,Unauthorized accessing,Low,2023/3/8
552,XX enterprise automotive Remote Air Conditioning,In-vehicle,IVI,Unauthorized accessing,Low,2023/3/8
553,XX enterprise automotive vehicle machine system exists in any file read and write loopholes,In-vehicle,IVI,File accessing,Medium,2023/3/8
554,XX enterprise automobile IVI has VIN code vulnerabilities,In-vehicle,IVI,File tampering,Low,2023/3/7
555,XX enterprise automobile via symbol connection leading to continuous operation,In-vehicle,ECU,DoS,High,2023/3/7
556,XX enterprise automobile CleanLinending Caps overflow,In-vehicle,ECU,Buffer overflow,High,2023/3/7
557,XX enterprise automobile Gets Remote ROOT permissions,In-vehicle,IVI,Privilege escalation,Medium,2023/3/7
558,XX enterprise automotive Software Signing Inspection Conditions Radio Leading Ren Code Execution,In-vehicle,IVI,Command injection,High,2023/3/7
559,XX enterprise automotive Machine Installing Third -Party Software,In-vehicle,IVI,Arbitrary software installation,Medium,2023/3/7
560,XX enterprise automotive IVI Engineering Mode No Password,In-vehicle,IVI,Weak password,Low,2023/3/7
561,XX enterprise automobile Motor Modification Data Data Data Data and other instrumental data,In-vehicle,IVI,File tampering,Low,2023/3/6
562,XX enterprise automobile QNX System Dynamic Library Mingwen Storage Key,In-vehicle,IVI,Weak password,Medium,2023/3/6
563,XX enterprise automotive HEADUNIT system exists in any code execution vulnerability,In-vehicle,IVI,Command injection,Medium,2023/3/6
564,XX enterprise automobile QNX Existence of Permanent Accounts Weak Pass Lovine Vulnerability,In-vehicle,ECU,Weak password,Medium,2023/3/6
565,XX enterprise automobile QNX System Unsafe District File File configuration,In-vehicle,IVI,File accessing,Low,2023/3/5
566,XX enterprise automobile Remote Closing instrument Information Vulnerability,In-vehicle,IVI,File tampering,Low,2023/3/5
567,XX enterprise automotive Engineering Mode No Password Verification,In-vehicle,IVI,Unauthorized accessing,Low,2023/3/5
568,XX enterprise automobile Remote Closing the screen vulnerability,In-vehicle,IVI,File tampering,Medium,2023/3/5
569,XX enterprise automotive automotive Network FTP FTP weak passage vulnerability,Network,Network,Weak password,Low,2023/3/5
570,XX enterprise automotive Cycling Telnet Telnet remote login weak passage loopholes,Network,Network,Weak password,Low,2023/3/5
571,XX enterprise automotive IVI Existence Permanent Enhancement Vulnerability,In-vehicle,IVI,Privilege escalation,Medium,2023/3/5
572,XX enterprise automobile Gets Remote ROOT permissions,In-vehicle,IVI,Privilege escalation,Medium,2023/3/5
573,XX enterprise Auto Motor Motor Play Music Vulnerability,In-vehicle,IVI,File tampering,Low,2023/3/5
574,"The XX enterprise IVI exists arbitrarily covered the system APP, which causes the permissions to increase the vulnerability",In-vehicle,IVI,Privilege escalation,Low,2023/3/4
575,XX enterprise IVI exists any app installation vulnerability,In-vehicle,IVI,Arbitrary software installation,Medium,2023/3/4
576,XX corporate vehicle can install third -party software arbitrarily,In-vehicle,IVI,Arbitrary software installation,Medium,2023/3/4
577,XX enterprise vehicle Network Cloud Platform Batch Get VIN identification number vulnerability,Outside-vehicle,Cloud platform,Information leakage,Low,2023/3/3
578,XX enterprise vehicle Network Cloud Platform has the level of existence of the more power loopholes,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023/3/3
579,There is a vulnerability in the login office of the XX enterprise car networking platform background management,Outside-vehicle,Cloud platform,Weak password,Medium,2023/3/13
580,XX enterprise vehicle Internet Cloud Platform Reject Service Vulnerability,Outside-vehicle,Cloud platform,DoS,Low,2023/3/3
581,XX enterprise Intelligent Management System Scene Engine Platform Information Leakage,Outside-vehicle,Cloud platform,Information leakage,Low,2023/3/3
582,The XX enterprise APP has local rejection of service vulnerabilities,Outside-vehicle,APP,DoS,Low,2023/2/15
583,The XX enterprise APP has local rejection of service vulnerabilities,Outside-vehicle,APP,DoS,Low,2023/2/15
584,The XX enterprise APP has local rejection of service vulnerabilities,Outside-vehicle,APP,DoS,Low,2023/2/15
585,XX enterprise automobile bypass the third -party APK verification detection for installation,In-vehicle,IVI,Arbitrary software installation,High,2023/2/15
586,XX enterprise Data Management Platform information leakage+unauthorized vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023/2/13
587,The official APP of the XX enterprise automobile has local rejection of service vulnerabilities,Outside-vehicle,APP,DoS,Low,2023/2/13
588,XX enterprise sensitive information leakage+unauthorized,Outside-vehicle,Cloud platform,Information leakage,High,2023/2/13
589,The component of the XX enterprise automotive APP has local rejection of service vulnerabilities,Outside-vehicle,APP,DoS,Low,2023/2/10
590,The official app of the XX enterprise has local rejection of service vulnerabilities,Outside-vehicle,APP,DoS,Low,2023/2/10
591,XX enterprise automobile Existence can turn on the engineering mode to enter ADB debugging to achieve the effect of control,In-vehicle,IVI,Unauthorized accessing,High,2023/2/7
592,The XX enterprise APP has local rejection of service vulnerabilities,Outside-vehicle,APP,DoS,Low,2023/2/13
593,There is a SQL injection vulnerability in a system of xx enterprises,Outside-vehicle,Cloud platform,SQL injection,Medium,2023/2/1
594,There are any file download vulnerabilities in an XX enterprise car system,Outside-vehicle,Cloud platform,File download,Medium,2023/2/1
595,There is a remote RCE in the XX enterprise automobile management system,Outside-vehicle,Cloud platform,Command injection,High,2023/2/1
596,XX enterprise automobile Existing Monitoring 22342 Port may be used,In-vehicle,IVI,Unauthorized accessing,Low,2023/1/17
597,XX enterprise automobile TBOX has remote command execution vulnerabilities,In-vehicle,T-Box,Command injection,Medium,2023/1/17
598,XX enterprise automobile TBOX leaked MQTT and other certificates,In-vehicle,T-Box,Information leakage,Low,2023/1/17
599,XX enterprise automobile TBOX remote file access may modify and upgrade package,In-vehicle,T-Box,Upgrade forgery,Medium,2023/1/17
600,XX enterprise automobile TBOX remote command execution problem,In-vehicle,T-Box,Command injection,Medium,2023/1/17
601,XX enterprise automobile IVI leaks internal FTP information,In-vehicle,IVI,Information leakage,Low,2023/1/17
602,XX enterprise automobile TBOX4G network isolation problem can cause batch attack invasion,In-vehicle,T-Box,Unauthorized accessing,Low,2023/1/17
603,XX enterprise automobile Remote Get Screenshot,In-vehicle,IVI,Unauthorized accessing,Low,2023/1/14
604,XX enterprise automobile remote control vehicle screen,In-vehicle,IVI,Unauthorized accessing,Low,2023/1/14
605,XX enterprise automobile Remote Control Camera Vulnerability,In-vehicle,IVI,Unauthorized accessing,Low,2023/1/14
606,XX enterprise automotive Remote Control Radio Ritter Vulnerability,In-vehicle,IVI,Unauthorized accessing,Low,2023/1/14
607,There are vulnerabilities in the XX enterprise car car Include kernel module,In-vehicle,IVI,Kernel,Medium,2023/1/14
608,XX enterprise automotive Driving Records Unauthorized Visit Vulnerability,Network,Network,Unauthorized accessing,Low,2023/1/13
609,XX enterprise automotive IVI system exists in ADB unauthorized access vulnerabilities,In-vehicle,IVI,Unauthorized accessing,Low,2023/1/13
610,XX enterprise automobile 001 Remote Command Execution,In-vehicle,T-Box,Command injection,Medium,2023/1/13
611,XX enterprise automobile IVI Reject Service Vulnerability,In-vehicle,IVI,DoS,Low,2023/1/13
612,XX enterprise automobile Secret Key Key Code Vulnerability,In-vehicle,IVI,Weak password,Low,2023/1/13
613,XX enterprise Autonomous Driving Collection System Gategory Telnet Telnet empty passwords,Network,Network,Weak password,Low,2023/1/13
614,XX enterprise Autonomous Driving Collection System Gate of the ROOT password empty password,Network,Network,Weak password,Low,2023/1/13
615,XX enterprise automotive Driving Collection System Network Equipment Telnet Telnet empty passwords,Network,Network,Weak password,Low,2023/1/13
616,XX enterprise Autonomous Driving Collection System Network Equipment SSH ROOT password empty passwords,Network,Network,Weak password,Low,2023/1/13
617,XX enterprise Autonomous Driving Collection System Network Equipment Telnet Telnet weak password,Network,Network,Weak password,Low,2023/1/13
618,XX enterprise Autonomous Driving Collection System Network Equipment SSH ROOT password empty passwords,Network,Network,Weak password,Low,2023/1/13
619,XX enterprise Autonomous Driving Collection System Network Equipment Telnet Telnet weak password,Network,Network,Weak password,Low,2023/1/13
620,XX enterprise Autonomous Driving Collection System Network Equipment SSH ROOT password weak password,Network,Network,Weak password,Low,2023/1/13
621,XX enterprise automobile domain controller system root password empty password,Network,Network,Weak password,Low,2023/1/13
622,XX enterprise Auto ADAS System SSH ROOT empty password,Network,Network,Weak password,Low,2023/1/13
623,XX enterprise automobile remote control air conditioning vulnerability,In-vehicle,IVI,Command injection,High,2023/1/13
624,XX enterprise automobile Extraorded Query Modify vehicle Hidden Privacy Settings,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/1/11
625,XX enterprise automotive Machine Null-PTR-DEREF kernel vulnerability,In-vehicle,IVI,Kernel,Medium,2023/1/11
626,XX enterprise automotive Mot CVE-2019-13272 kernel vulnerabilities,In-vehicle,IVI,Kernel,Medium,2023/1/11
627,XX enterprise automobile Existence can turn on the engineering mode to enter ADB debugging,In-vehicle,IVI,Unauthorized accessing,High,2023/1/10
628,XX enterprise automotive Motor Maste Installed APK,In-vehicle,IVI,Arbitrary software installation,Medium,2023/1/10
629,XX enterprise car engineering model can modify the VIN code,In-vehicle,IVI,File tampering,Medium,2023/1/10
630,XX enterprise automotive Engineering Model has not set a password check,In-vehicle,IVI,Weak password,Medium,2023/1/10
631,XX enterprise automotive vehicle Bluetooth Reject Service Vulnerability,In-vehicle,IVI,DoS,Low,2023/1/9
632,The hotspot of the XX enterprise automobile vehicle is not done in the network segment isolation and the TBOX has a weak password,In-vehicle,T-Box,Weak password,Medium,2023/1/9
633,XX enterprise automobile Cloud Platform API Unauthorized call,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/1/8
634,XX enterprise automobile DNSMASQ Reject Service,In-vehicle,IVI,DoS,Low,2023/1/8
635,XX enterprise automobile VIN Code ICCID Information Leaks,In-vehicle,IVI,Information leakage,Low,2023/1/8
636,XX enterprise Auto RADIO module can operate,In-vehicle,IVI,Unauthorized accessing,Low,2023/1/8
637,XX enterprise automotive IVI Location Information Discovery,In-vehicle,IVI,Information leakage,Low,2023/1/8
638,XX enterprise automobile IVI ADB Certification bypass,In-vehicle,IVI,Unauthorized accessing,Medium,2023/1/8
639,XX enterprise automotive APP installation limit is bypassing and can be installed any app,In-vehicle,IVI,Arbitrary software installation,Medium,2023/1/8
640,XX enterprise car bypassed the web browser,In-vehicle,IVI,Unauthorized accessing,Medium,2023/1/8
641,XX enterprise car background setting is bypassed and can open the developer mode,In-vehicle,IVI,Unauthorized accessing,Medium,2023/1/8
642,XX enterprise automobile APP communication leaks a platform account password,Outside-vehicle,APP,Weak password,Low,2023/1/8
643,XX enterprise automotive vehicle Browser Vulnerability,In-vehicle,IVI,Kernel,Low,2023/1/8
644,XX enterprise automotive Port information leakage,In-vehicle,IVI,Information leakage,Low,2023/1/8
645,XX enterprise Tee leak MQTT certification certificate,In-vehicle,T-Box,Information leakage,Medium,2023/1/7
646,XX enterprise Auto Service Unauthorized Visit,Network,Network,Unauthorized accessing,Medium,2023/1/7
647,XX enterprise automobile Websocket abnormal session leads to navigation restart,In-vehicle,IVI,DoS,Low,2023/1/5
648,XX enterprise automobile vehicle Bluetooth Analysis Vulnerability,In-vehicle,IVI,DoS,Low,2023/1/5
649,XX enterprise Auto Auto Machine WIFI Pay Resolution Vulnerability,In-vehicle,IVI,DoS,Low,2023/1/5
