ID,Vulnerability description,Location,Module,Type,Threat,Time,Attack surfaces,Skills,US EPA size classifications,SAE international level,Car models
371,The XX enterprise registration permissions management system exists if the password vulnerability,Outside-vehicle,Cloud platform,Weak password,Low,2023-6-28,3,Penetration testing,,-,-
372,There are a large number of interfaces of XX enterprise cars unauthorized access,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-6-28,3,Penetration testing,,-,-
373,XX enterprise automobile Existence information leakage,Outside-vehicle,Cloud platform,Information leakage,Medium,2023-6-28,3,Traffic analysis,,-,-
374,XX corporate website has any file reading,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-6-27,3,Penetration testing,,-,-
375,XX enterprise automotive Motor WIFI Password Pure Meeting Vulnerability,Network,Network,Information leakage,Low,2023-6-26,1,Port scanning,Standard SUV,l1,Chinese
376,XX enterprise automobile APP sensitive information leakage,Outside-vehicle,APP,Command injection,Low,2023-6-26,3,Penetration testing,Large car,l2,Chinese
377,XX enterprise automobile has WiFi lifting certification attack,In-vehicle,IVI,DoS,Low,2023-6-26,1,Penetration testing,Large car,l2,Chinese
378,XX corporate vehicle has a loophole in LINUX local rights,In-vehicle,IVI,Privilege escalation,Medium,2023-6-26,1,Reverse engineering,Standard SUV,l1,Chinese
379,XX enterprise automotive APP Mingshin Transmission Data,Outside-vehicle,APP,Information leakage,Low,2023-6-26,3,Traffic analysis,Large car,l2,Chinese
380,XX enterprise platform exists in SQL injection,Outside-vehicle,Cloud platform,SQL injection,Low,2023-6-26,3,Penetration testing,Mid-Size car,l2,Korean
381,XX enterprise platform exists in interface file upload vulnerabilities,Outside-vehicle,Cloud platform,File upload,Medium,2023-6-26,3,Penetration testing,,-,-
382,There are unauthorized access vulnerabilities in XX enterprise mini -programs,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-6-26,3,Penetration testing,,-,-
383,"The existence of kernel vulnerabilities in the XX enterprise car, causing system crash vulnerabilities",In-vehicle,IVI,DoS,Low,2023-6-26,1,Reverse engineering,Standard SUV,l1,Chinese
384,XX enterprise platform exists in Jeecgsql injection,Outside-vehicle,Cloud platform,SQL injection,Low,2023-6-26,3,Penetration testing,,-,-
385,There is an unauthorized access loophole in the XX enterprise FE open platform,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-6-26,3,Penetration testing,Small SUV,l2,Japanese
386,XX enterprise platform exists in Jeecgsql injection,Outside-vehicle,Cloud platform,SQL injection,Low,2023-6-26,3,Penetration testing,Minivan,l2,Chinese
387,XX enterprises have not authorized ADB to open vulnerabilities,In-vehicle,IVI,Unauthorized accessing,Low,2023-6-26,1,Port scanning,Standard SUV,l1,Chinese
388,"The XX enterprise vehicle Network Comprehensive Management Platform has a weak passage of loopholes,",Outside-vehicle,Cloud platform,Weak password,Medium,2023-6-26,3,Penetration testing,,-,-
389,There is a weak password for the real -name registration system of the XX enterprise car networking card,Outside-vehicle,Cloud platform,Weak password,Low,2023-6-26,3,Penetration testing,,-,-
390,There are weak passwords in the XX enterprise login system,Outside-vehicle,Cloud platform,Weak password,Low,2023-6-26,3,Penetration testing,,-,-
391,There is a weak passage of the XX enterprise car rental background login system,Outside-vehicle,Cloud platform,Weak password,Medium,2023-6-26,3,Penetration testing,,-,-
392,XX enterprise 5G vehicle Networking vehicle Data Platforms SQL injection,Outside-vehicle,Cloud platform,SQL injection,Low,2023-6-26,3,Penetration testing,,-,-
393,XX enterprises actively monitor the cloud platform with weak passage vulnerabilities,Outside-vehicle,Cloud platform,Weak password,Medium,2023-6-25,3,Penetration testing,,-,-
394,XX enterprise automotive APP Unauthorized Download,Outside-vehicle,APP,Command injection,Low,2023-6-25,3,Penetration testing,Large car,l2,Chinese
395,XX enterprise automobile APP middleman attack,Outside-vehicle,APP,Man-in-the-middle,Medium,2023-6-25,2,Penetration testing,Large car,l2,Chinese
396,XX enterprise automobile APP Reinstall Vulnerability,Outside-vehicle,APP,replay,Low,2023-6-25,2,Penetration testing,Large car,l2,Chinese
397,XX enterprise user experience management platform violent blasting vulnerability,Outside-vehicle,Cloud platform,Weak password,Low,2023-6-25,3,Penetration testing,,-,-
398,XX enterprise automobile Webpack source code leak,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-6-25,3,Penetration testing,,-,-
399,XX enterprise automobile Logistics-Sensitive Information Disease,Outside-vehicle,Cloud platform,Information leakage,Low,2023-6-25,3,Traffic analysis,Large car,l2,Chinese
400,XX enterprise automobile APK Login Interface Exist SQL injection vulnerability,Outside-vehicle,APP,SQL injection,Low,2023-6-25,3,Penetration testing,,-,-
401,XX enterprise Mini Program-Logic concurrent vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-6-25,3,Penetration testing,Large car,l2,Chinese
402,XX enterprise automotive Search Recommendation Platform-Unauthorized access loopholes,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-6-25,3,Penetration testing,Large car,l2,Chinese
403,XX enterprise SPBOOT leaks a lot of interface information,Outside-vehicle,Cloud platform,Information leakage,Low,2023-6-25,3,Penetration testing,Large car,l2,Chinese
404,XX enterprise sensitive information leaks Alibaba Cloud AK connection key,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-6-25,3,Penetration testing,,-,-
405,XX enterprise violent blasting vulnerability,Outside-vehicle,Cloud platform,Weak password,Low,2023-6-25,3,Penetration testing,Large car,l2,Chinese
406,XX enterprise entry assistant exists in Fastjson counter,Outside-vehicle,Cloud platform,Deserialization,Low,2023-6-25,3,Penetration testing,Large car,l2,Chinese
407,XX enterprise vehicle Network Information Service Platform Shiro command execute,Outside-vehicle,Cloud platform,Deserialization,Medium,2023-6-21,3,Penetration testing,,-,-
408,There is a weak password for XX enterprise vehicle Networking Intelligent Monitoring Platform,Outside-vehicle,Cloud platform,Weak password,Medium,2023-6-21,3,Penetration testing,,-,-
409,The XX enterprise charging pile APK login interface exists in SQL injection vulnerabilities,Outside-vehicle,Charging pile,SQL injection,Low,2023-6-21,3,Penetration testing,,-,-
410,XX enterprise Charging Pile APK Member Interface exists in SQL injection vulnerabilities,Outside-vehicle,Charging pile,SQL injection,Medium,2023-6-21,3,Penetration testing,,-,-
411,XX enterprise jump information somewhere leakage,Outside-vehicle,Cloud platform,Information leakage,Low,2023-6-21,3,Penetration testing,Large car,l2,Chinese
412,XX enterprise charging pile background management system has data leakage vulnerabilities,Outside-vehicle,Charging pile,Information leakage,Low,2023-6-21,3,Penetration testing,,-,-
413,XX enterprise GPS positioning system has data leakage vulnerabilities,Outside-vehicle,Cloud platform,Information leakage,Low,2023-6-21,3,Penetration testing,,-,-
414,XX enterprises obtain ordinary shell permissions vulnerabilities,In-vehicle,IVI,Unauthorized accessing,Low,2023-6-19,1,Penetration testing,Compact car,l2,Chinese
415,XX enterprises obtain diagnostic information vulnerabilities,In-vehicle,IVI,Information leakage,Low,2023-6-19,1,Traffic analysis,Compact car,l2,Chinese
416,XX enterprise remotely leaks GPS positioning information,In-vehicle,ECU,GPS spoofing,Low,2023-6-19,1,Signal interception,Compact car,l2,Chinese
417,XX enterprises exist to allow the installation of unauthorized software vulnerabilities,In-vehicle,IVI,Arbitrary software installation,Low,2023-6-19,1,Reverse engineering,Compact car,l2,Chinese
418,There is a cache overflowing and cross -border reading and writing potential risks in the XX enterprise automotive car system,In-vehicle,IVI,Buffer overflow,Medium,2023-6-19,1,Penetration testing,,-,-
419,There is a risk of caching overflow on the XX enterprise car aircraft,In-vehicle,IVI,Integer overflow,Medium,2023-6-19,1,Penetration testing,,-,-
420,"The existence of the XX enterprise automobile aircraft is due to the overflow of the integer, which is caused by the overflow of the release of potential risks",In-vehicle,IVI,Integer overflow,Medium,2023-6-19,1,Penetration testing,,-,-
421,The risk,In-vehicle,ECU,Integer overflow,Medium,2023-6-19,1,Penetration testing,,-,-
422,XX companies exist in user information leakage vulnerabilities,Outside-vehicle,APP,Information leakage,Low,2023-6-16,3,Traffic analysis,,-,-
423,XX enterprise automotive vehicle has a hard -coded WiFi password vulnerability,In-vehicle,IVI,Information leakage,Low,2023-6-16,1,Reverse engineering,Minicompact car,l1,Chinese
424,XX enterprise automotive vehicle has an application store hijacking vulnerability,In-vehicle,IVI,Man-in-the-middle,Medium,2023-6-16,1,Traffic analysis,Minicompact car,l1,Chinese
425,XX enterprise automotive vehicle Machine Permanent Power Enhancement Vulnerability,In-vehicle,IVI,Privilege escalation,Medium,2023-6-16,1,Traffic analysis,Minicompact car,l1,Chinese
426,XX enterprise automotive Mot has command injection vulnerabilities,In-vehicle,IVI,Command injection,Medium,2023-6-16,1,Penetration testing,Minicompact car,l1,Chinese
427,XX corporate platform is unauthorized access vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-6-15,3,Penetration testing,Large car,l2,Chinese
428,XX enterprises do not authorize access vulnerabilities,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-6-15,3,Penetration testing,Large car,l2,Chinese
429,XX enterprise automobile T-BOX has MQTT unauthorized access vulnerabilities,In-vehicle,T-Box,Unauthorized accessing,High,2023-6-15,1,Traffic analysis,,-,-
430,XX enterprise automobile APK Login Interface Existing token refresh vulnerabilities,Outside-vehicle,APP,Identity spoofing,Low,2023-6-12,3,Penetration testing,,-,-
431,XX enterprise charging pile APK exists in vehicle binding information leakage vulnerabilities,Outside-vehicle,Charging pile,Information leakage,Low,2023-6-12,3,Penetration testing,,-,-
432,XX enterprise TSP Cloud Platform has unauthorized access loopholes,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023-6-11,3,Penetration testing,Mid-Size car,l2,German
433,XX enterprise Charging Pile APK has user information traversal vulnerabilities,Outside-vehicle,Charging pile,Information leakage,Low,2023-6-8,3,Penetration testing,,-,-
434,XX enterprise APP has a modification of any user password vulnerability,Outside-vehicle,APP,Unauthorized accessing,High,2023-6-8,3,Traffic analysis,,-,-
435,XX enterprise APP has any user remote control any car vulnerability,Outside-vehicle,APP,Unauthorized accessing,High,2023-6-8,3,Traffic analysis,,-,-
436,XX enterprise automobile automobile Gateway Wi-Fi parameter settings improperly,In-vehicle,ECU,Information leakage,Low,2023-6-5,1,Reverse engineering,Standard SUV,l1,Chinese
437,XX enterprise automobile automobile Gateway RS232 Discovery Start Information,In-vehicle,ECU,Information leakage,Low,2023-6-5,1,Port scanning,Standard SUV,l1,Chinese
438,XX enterprise automobile automobile Gate rebound Shell,In-vehicle,ECU,Arbitrary software installation,Low,2023-6-5,1,Port scanning,Standard SUV,l1,Chinese
439,XX enterprise automobile has a pile of loopholes,In-vehicle,ECU,Buffer overflow,Medium,2023-6-5,1,Penetration testing,,-,-
440,XX enterprise automobile Existence of Cushion Spray Vulnerability,In-vehicle,ECU,Buffer overflow,Medium,2023-6-5,1,Penetration testing,,-,-
441,XX enterprise automobile has empty pointer access vulnerabilities,In-vehicle,ECU,Buffer overflow,Medium,2023-6-5,1,Penetration testing,,-,-
442,XX enterprise automobile automobile Gateway logs are not encrypted storage,In-vehicle,ECU,Information leakage,Low,2023-6-5,1,Port scanning,Standard SUV,l1,Chinese
443,XX enterprise automobile automobile Gategory Automatically restarts,Network,Network,DoS,Medium,2023-6-5,1,Port scanning,Standard SUV,l1,Chinese
444,XX enterprise Auto Auto Network Pass malleure program execution,In-vehicle,ECU,Arbitrary software installation,Low,2023-6-5,1,Port scanning,Standard SUV,l1,Chinese
445,XX enterprise automobile automobile Gate File Upload Download,In-vehicle,ECU,File download,Low,2023-6-5,1,Port scanning,Standard SUV,l1,Chinese
446,XX enterprise automobile automobile Gateway Telnet Root permissions,In-vehicle,ECU,Privilege escalation,Medium,2023-6-5,1,Port scanning,Standard SUV,l1,Chinese
447,XX enterprise automobile automobile Gateway Open Non -necessary Port,In-vehicle,ECU,Unauthorized accessing,Low,2023-6-5,1,Port scanning,Standard SUV,l1,Chinese
448,XX enterprise automobile Steering Lights Most,Network,Network,DoS,Medium,2023-6-5,1,Port scanning,Large car,l2,Chinese
449,XX enterprise car keyless vehicle startup,Network,Network,Relay,Medium,2023-6-5,2,Signal interception,Large car,l2,Chinese
450,XX enterprise automobile firmware extraction,In-vehicle,IVI,Information leakage,Medium,2023-6-5,1,Reverse engineering,Large car,l2,Chinese
451,XX enterprise automobile Hidden Mode Passage Blasting,In-vehicle,IVI,Weak password,Medium,2023-6-5,1,Port scanning,,-,-
452,XX enterprise automobile USB Locomotive Control,In-vehicle,IVI,USB,Low,2023-6-5,1,Signal interception,Large car,l2,Chinese
453,XX enterprise automobile ECU Restart,Network,Network,DoS,Medium,2023-6-5,1,Port scanning,Standard SUV,l3,Chinese
454,XX corporate car shifting device is prohibited from raising,Network,Network,DoS,Medium,2023-6-5,1,Port scanning,Standard SUV,l3,Chinese
455,XX enterprise automobile USB Unblied External,In-vehicle,IVI,USB,Low,2023-6-5,1,Signal interception,Standard SUV,l3,Chinese
456,XX enterprise automobile Intermediate People Attack Vulnerability,In-vehicle,Radio,replay,Medium,2023-6-5,2,Signal interception,Mid-Size car,l2,American
457,XX enterprise automotive Deatsment Discharge Vulnerability,In-vehicle,Radio,replay,Low,2023-6-5,1,Signal interception,Mid-Size car,l2,American
458,There are data leakage vulnerabilities in the XX enterprise automobile management system,Outside-vehicle,Cloud platform,Information leakage,Low,2023-6-1,3,Penetration testing,,-,-
459,XX enterprise Commercial vehicle Risk Control System has data leakage vulnerabilities,Outside-vehicle,Cloud platform,Information leakage,Medium,2023-5-31,3,Penetration testing,,-,-
460,XX enterprise Intelligent Charging Management System has data leakage vulnerabilities,Outside-vehicle,Charging pile,Information leakage,Low,2023-5-30,3,Penetration testing,,-,-
461,The XX enterprise charging pile management system exists in data leakage vulnerabilities,Outside-vehicle,Charging pile,Information leakage,Low,2023-5-30,3,Penetration testing,,-,-
462,There are unauthorized access vulnerabilities on the product of the XX enterprise cloud platform,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-5-29,3,Penetration testing,,-,-
463,There are data leakage vulnerabilities in the charging system of XX enterprises,Outside-vehicle,Charging pile,Information leakage,Low,2023-5-29,3,Penetration testing,,-,-
464,XX enterprise charging pile system has data leakage vulnerabilities,Outside-vehicle,Charging pile,Information leakage,Low,2023-5-29,3,Penetration testing,,-,-
465,XX enterprise charging pile system has data leakage vulnerabilities,Outside-vehicle,Charging pile,Information leakage,Low,2023-5-29,3,Penetration testing,,-,-
466,XX enterprise automobile Existence of Cushion Spray Vulnerability,In-vehicle,ECU,Buffer overflow,Medium,2023-6-5,1,Penetration testing,,-,-
467,XX enterprise automobile Existence of Cushion Spray Vulnerability,In-vehicle,ECU,Buffer overflow,Medium,2023-6-5,1,Penetration testing,,-,-
468,XX enterprise Swagger unauthorized access vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023-5-19,3,Penetration testing,,-,-
469,XX companies exist in SQL injection vulnerabilities,Outside-vehicle,Cloud platform,SQL injection,High,2023-5-10,3,Penetration testing,Small SUV,l2,Chinese
470,XX enterprise Products have a buffer error loophole,In-vehicle,IVI,Buffer overflow,Low,2023-5-8,1,Penetration testing,,-,-
471,XX enterprise automotive IVI system exists in ROOT permissions vulnerabilities,In-vehicle,IVI,Privilege escalation,High,2023-5-8,1,Port scanning,Standard SUV,l2,Chinese
472,XX enterprise automotive automobile Intelligent Multimedia Most Hosting Products have insufficient encryption vulnerabilities,In-vehicle,IVI,Information leakage,Low,2023-4-27,1,Reverse engineering,Minivan,l2,Chinese
473,XX enterprise APP Online Customer Service Module WEB directory limits can bypass vulnerabilities,Outside-vehicle,APP,Unauthorized accessing,High,2023-4-27,3,Penetration testing,Mid-Size car,l2,German
474,There are unauthorized access vulnerabilities on multiple automobile networking platforms for XX companies,Outside-vehicle,Cloud platform,Unauthorized accessing,High,2023-4-17,3,Penetration testing,,-,-
475,XX enterprise automotive Controller has the risk of downgrading by the software version,In-vehicle,ECU,Upgrade forgery,High,2023-3-23,1,Reverse engineering,,-,-
476,XX enterprise automobile Cloud Platform Large Sensitive Information Discovery,Outside-vehicle,Cloud platform,Information leakage,Medium,2023-3-15,3,Traffic analysis,Mid-Size car,l2,Japanese
477,XX enterprise automotive Unauthorized command to execute vulnerabilities,In-vehicle,ECU,Command injection,Medium,2023-3-15,1,Penetration testing,Small SUV,l2,Chinese
478,XX vehicle car charging port has wireless vulnerabilities,In-vehicle,Radio,DoS,Medium,2023-3-15,1,Signal interception,Mid-Size car,l2,American
479,XX vehicle vehicle machine MQTT platform has certification by bypass vulnerabilities,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023-3-14,3,Penetration testing,Small SUV,l2,Chinese
480,XX vehicle automobile MQTT Platform has certification by bypass vulnerabilities,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-3-14,3,Penetration testing,Small SUV,l2,Chinese
481,XX vehicle Secret Key Key Hard Code Vulnerability,In-vehicle,IVI,Weak password,Low,2023-3-14,1,Reverse engineering,Standard SUV,l2,Chinese
482,XX vehicle vehicle aircraft engineering mode is weak,In-vehicle,IVI,Weak password,Low,2023-3-14,1,Port scanning,Standard SUV,l2,Chinese
483,XX vehicle system root user exists in empty password vulnerabilities,In-vehicle,ECU,Weak password,Low,2023-3-14,1,Port scanning,Small SUV,l2,Chinese
484,SQL injection vulnerabilities exist at the table of the background manager of the XX enterprise car networking platform,Outside-vehicle,Cloud platform,SQL injection,Medium,2023-3-14,3,Penetration testing,Small SUV,l2,Chinese
485,XX enterprise vehicle Networking Platform Backstage Management drawing details exist in SQL injection vulnerabilities,Outside-vehicle,Cloud platform,SQL injection,Medium,2023-3-14,3,Penetration testing,Small SUV,l2,Chinese
486,SQL injection vulnerabilities exist at the list of background management activities of the XX enterprise car networking platform,Outside-vehicle,Cloud platform,SQL injection,Medium,2023-3-14,3,Penetration testing,Small SUV,l2,Chinese
487,SQL injection vulnerabilities exist in the background management data statistics department of the XX enterprise car networking platform,Outside-vehicle,Cloud platform,SQL injection,Medium,2023-3-14,3,Penetration testing,Small SUV,l2,Chinese
488,XX enterprise vehicle Networking Platform Backstage Management Information Inquiry Office exists in SQL injection vulnerabilities,Outside-vehicle,Cloud platform,SQL injection,Medium,2023-3-14,3,Penetration testing,Small SUV,l2,Chinese
489,The SPIN Weak's Display Vulnerability,Outside-vehicle,Cloud platform,Weak password,Low,2023-3-3,3,Penetration testing,Mid-Size car,l2,German
490,XX enterprise automobile TBOX has ROOT password hard coding vulnerabilities,In-vehicle,T-Box,Weak password,Low,2023-3-13,1,Port scanning,Small SUV,l2,Chinese
491,XX enterprise automobile TBOX has a weak loophole,In-vehicle,T-Box,Weak password,Medium,2023-3-13,1,Port scanning,Small SUV,l2,Chinese
492,XX enterprise automobile TBOX has ROOT password hard coding vulnerabilities,In-vehicle,T-Box,Weak password,Low,2023-3-13,1,Port scanning,Small SUV,l2,Chinese
493,XX enterprise automobile TBOX has a weak password loophole,In-vehicle,T-Box,Weak password,Low,2023-3-13,1,Port scanning,Small SUV,l2,Chinese
494,XX enterprise vehicle Networking Platform Mall CHECKED interface has SQL injection vulnerabilities,Outside-vehicle,Cloud platform,SQL injection,Medium,2023-3-13,3,Penetration testing,Small SUV,l2,Chinese
495,XX enterprise vehicle Networking Platform Mall User.php Page exists in SQL injection leakage,Outside-vehicle,Cloud platform,SQL injection,Medium,2023-3-13,3,Penetration testing,Small SUV,l2,Chinese
496,The background management of the XX enterprise vehicle Networking Platform has a weak passage of loopholes,Outside-vehicle,Cloud platform,Weak password,Low,2023-3-14,3,Port scanning,Small SUV,l2,Chinese
497,There is a vulnerability for brute cracked in the background management of the XX corporate car networking platform to modify the password,Outside-vehicle,Cloud platform,Weak password,Medium,2023-3-13,3,Port scanning,Small SUV,l2,Chinese
498,The background management of the XX enterprise car networking platform has a login graphic verification code bypass the vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-3-13,3,Penetration testing,Small SUV,l2,Chinese
499,XX enterprise automobile Refuse Service Vulnerability 2,In-vehicle,IVI,DoS,Low,2023-3-13,1,Penetration testing,Small SUV,l2,Chinese
500,XX enterprise automobile has rejected service vulnerabilities 1,In-vehicle,IVI,DoS,Low,2023-3-13,1,Penetration testing,Small SUV,l2,Chinese
501,XX enterprise automotive Motor kernel module vulnerability 3 (No. 14),In-vehicle,IVI,Kernel,Medium,2023-3-13,1,Reverse engineering,Standard SUV,l2,Chinese
502,XX enterprise automotive Car Motor Nuclear Module Vulnerability 2 (No. 14),In-vehicle,IVI,Kernel,Medium,2023-3-13,1,Reverse engineering,Standard SUV,l2,Chinese
503,XX enterprise automotive Motor kernel module vulnerability 1 (No. 14),In-vehicle,IVI,Kernel,Medium,2023-3-13,1,Reverse engineering,Standard SUV,l2,Chinese
504,XX enterprise automotive Machine ADB password hard -coded vulnerability (No. 14),In-vehicle,IVI,Weak password,Medium,2023-3-13,1,Port scanning,Standard SUV,l2,Chinese
505,XX enterprise automobile ADB permissions bypassed vulnerabilities (No. 14),In-vehicle,IVI,Weak password,Medium,2023-3-13,1,Port scanning,Standard SUV,l2,Chinese
506,XX enterprise automobile LINUX kernel vulnerability (635),In-vehicle,IVI,Kernel,Medium,2023-3-12,1,Reverse engineering,Small SUV,l2,Chinese
507,XX enterprise automobile LINUX kernel vulnerability (572),In-vehicle,IVI,Kernel,Medium,2023-3-12,1,Reverse engineering,Small SUV,l2,Chinese
508,XX enterprise automobile LINUX kernel vulnerability (527),In-vehicle,IVI,Kernel,Medium,2023-3-12,1,Reverse engineering,Small SUV,l2,Chinese
509,XX enterprise automotive Mot has a loophole in the project mode,In-vehicle,IVI,Unauthorized accessing,Low,2023-3-12,1,Port scanning,Small SUV,l2,Chinese
510,XX enterprise automobile Linux kernel vulnerability (509),In-vehicle,IVI,Kernel,Medium,2023-3-12,1,Reverse engineering,Small SUV,l2,Chinese
511,XX enterprise automobile Linux kernel vulnerability (499),In-vehicle,IVI,Kernel,Medium,2023-3-12,1,Reverse engineering,Small SUV,l2,Chinese
512,XX enterprise automobile LINUX kernel vulnerability (465),In-vehicle,IVI,Kernel,Medium,2023-3-12,1,Reverse engineering,Small SUV,l2,Chinese
513,XX enterprise automobile LINUX kernel vulnerability (457),In-vehicle,IVI,Kernel,Medium,2023-3-12,1,Reverse engineering,Small SUV,l2,Chinese
514,XX enterprise automobile Existing APP Any installation vulnerability,In-vehicle,IVI,Arbitrary software installation,Low,2023-3-12,1,Reverse engineering,Small SUV,l2,Chinese
515,XX enterprise automotive Machine Get ROOT Permanent,In-vehicle,IVI,Privilege escalation,Medium,2023-3-12,1,Port scanning,Small SUV,l2,Chinese
516,There is a vulnerability for leakage of sensitive information in the XX enterprise automobile car,In-vehicle,IVI,Information leakage,Medium,2023-3-12,1,Traffic analysis,Small SUV,l2,Chinese
517,There is a hidden engineering mode in the XX enterprise car car,In-vehicle,IVI,Unauthorized accessing,Medium,2023-3-12,1,Port scanning,Standard SUV,l2,Chinese
518,XX enterprise automotive Mot Machine LINUX kernel vulnerability (635),In-vehicle,IVI,Kernel,Medium,2023-3-12,1,Reverse engineering,Small SUV,l2,Chinese
519,XX enterprise automotive Linux kernel vulnerability (572),In-vehicle,IVI,Kernel,Medium,2023-3-12,1,Reverse engineering,Small SUV,l2,Chinese
520,XX enterprise automotive Linex kernel vulnerability (527),In-vehicle,IVI,Kernel,Medium,2023-3-12,1,Reverse engineering,Small SUV,l2,Chinese
521,XX enterprise automotive Linex kernel vulnerability (525),In-vehicle,IVI,Kernel,Medium,2023-3-12,1,Reverse engineering,Small SUV,l2,Chinese
522,XX enterprise automotive Linex kernel vulnerability (509),In-vehicle,IVI,Kernel,Medium,2023-3-12,1,Reverse engineering,Small SUV,l2,Chinese
523,XX enterprise automotive Linex kernel vulnerability (499),In-vehicle,IVI,Kernel,Medium,2023-3-12,1,Reverse engineering,Small SUV,l2,Chinese
524,XX enterprise automotive Linex kernel vulnerability (465),In-vehicle,IVI,Kernel,Medium,2023-3-12,1,Reverse engineering,Small SUV,l2,Chinese
525,XX enterprise automotive Linel LINUX kernel vulnerability (457),In-vehicle,IVI,Kernel,Medium,2023-3-12,1,Reverse engineering,Small SUV,l2,Chinese
526,XX enterprise automobile Remote Closing Instrument Information,In-vehicle,IVI,DoS,Low,2023-3-11,1,Traffic analysis,Small SUV,l2,Chinese
527,XX enterprise automobile Linux kernel vulnerability,In-vehicle,IVI,Kernel,Medium,2023-3-11,1,Reverse engineering,Small SUV,l2,Chinese
528,XX enterprise automotive Cloud Platform Identity Verification bypasses Vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-3-10,3,Penetration testing,Mid-Size car,l2,Japanese
529,XX enterprise automobile TBOX System FTP weak passage vulnerability,In-vehicle,T-Box,Weak password,Low,2023-3-10,1,Port scanning,Small SUV,l2,Chinese
530,XX enterprise Cloud Platform sensitive information leak (traversal car maintenance package purchase record),Outside-vehicle,Cloud platform,Information leakage,Low,2023-3-10,3,Traffic analysis,Mid-Size car,l2,Japanese
531,XX enterprise automotive IVI Traffic Hide Vulnerability (GetShell+Root),In-vehicle,IVI,Unauthorized accessing,Medium,2023-3-10,1,Traffic analysis,Small SUV,l2,Chinese
532,XX enterprise automobile IVI has sensitive files to read loopholes,In-vehicle,IVI,Information leakage,Low,2023-3-10,1,Penetration testing,Standard SUV,l1,Chinese
533,XX enterprise automotive QNX System Test Port Open Vulnerability,Network,Network,Debug interface exposure,Medium,2023-3-10,1,Port scanning,Small SUV,l2,Chinese
534,XX enterprise automobile NVTEVM System FTP empty passage vulnerability,Network,Network,Weak password,Low,2023-3-10,1,Port scanning,Small SUV,l2,Chinese
535,XX enterprise automotive QNX System Test Port Open Vulnerability,In-vehicle,IVI,Debug interface exposure,Medium,2023-3-10,1,Port scanning,Small SUV,l2,Chinese
536,The XX enterprise vehicle Network Cloud Platform Online Customer Service Module has certification to bypass the vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023-3-10,3,Penetration testing,Mid-Size car,l2,German
537,XX enterprise automobile NVTEVM System Telnet empty passage vulnerability,Network,Network,Weak password,Low,2023-3-10,1,Port scanning,Small SUV,l2,Chinese
538,XX enterprise automobile has a hard -coded ROOT password vulnerability,In-vehicle,IVI,Weak password,Low,2023-3-10,1,Port scanning,Mid-Size car,l2,German
539,XX enterprise automobile has hidden engineering model vulnerabilities,In-vehicle,IVI,Unauthorized accessing,Low,2023-3-10,1,Port scanning,Standard SUV,l3,German
540,XX enterprise automobile IVI Open FTP Service,In-vehicle,IVI,Unauthorized accessing,Low,2023-3-9,1,Port scanning,Minivan,l2,Chinese
541,XX enterprise operation platform command execution and information leakage,Outside-vehicle,Cloud platform,Information leakage,Low,2023-3-9,3,Penetration testing,,-,-
542,XX enterprise automotive IVI Installation Mysterious APK Vulnerability,In-vehicle,IVI,Arbitrary software installation,Low,2023-3-9,1,Reverse engineering,Minivan,l2,Chinese
543,There are vulnerabilities of the XX corporate vehicle networking platform in batches to take over the loopholes of other people's APPs and vehicles,Outside-vehicle,Cloud platform,Unauthorized accessing,High,2023-3-9,3,Traffic analysis,Mid-Size car,l2,German
544,The XX corporate car networking platform exists in SpringBoot unauthorized access vulnerabilities,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-3-9,3,Traffic analysis,Mid-Size car,l2,German
545,XX enterprise automotive System Telnet remote login weak passage,In-vehicle,IVI,Weak password,Low,2023-3-8,1,Port scanning,Small SUV,l2,Chinese
546,XX enterprise automotive System Dynamic Library Mingwen storage key,In-vehicle,IVI,Weak password,Medium,2023-3-8,1,Reverse engineering,Small SUV,l2,Chinese
547,XX enterprise automobile Modify Data Data and other instrumental data and other instrumental data,In-vehicle,IVI,File tampering,Low,2023-3-8,1,Penetration testing,Small SUV,l2,Chinese
